"club","season","division","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"scunthorpe united","1994-95","third division","1","0","4","0","0","0","0","0","5","0"
"scunthorpe united","1995-96","third division","30","0","3","0","2","0","2","0","37","0"
"scunthorpe united","1996-97","third division","34","0","0","0","0","0","0","0","34","0"
"scunthorpe united","1997-98","third division","39","1","4","0","2","0","3","0","48","1"
"scunthorpe united","total","total","104","1","11","0","4","0","5","0","124","1"
"port vale","1998-99","first division","19","1","1","0","2","0","0","0","22","1"
"port vale","1999-2000","first division","12","1","0","0","2","0","0","0","14","1"
"port vale","2000-01","second division","39","1","1","0","1","0","7","0","48","1"
"port vale","2001-02","second division","28","0","0","0","1","0","0","0","29","0"
"port vale","2002-03","second division","17","1","0","0","1","0","0","0","18","1"
"port vale","2003-04","second division","13","0","0","0","1","0","0","0","14","0"
"port vale","2004-05","league one","23","0","2","0","0","0","0","0","25","0"
"port vale","2005-06","league one","4","0","0","0","0","0","0","0","4","0"
"port vale","2006-07","league one","18","0","0","0","1","0","1","0","20","0"
"port vale","total","total","173","4","4","0","9","0","8","0","194","4"
"career total","career total","career total","277","5","15","0","13","0","13","0","318","5"
