"","number of job vacancies","job vacancy rate","percentage of positions vacant for 90 days or more","long-term job vacancy rate"
"","thousands","percent","percent","percent"
"canada","377.5","2.4","9.3","0.23"
"newfoundland and labrador","3.6","1.8","10.6","0.19"
"prince edward island","1.2","2.0","5.6","0.11"
"nova scotia","8.6","2.2","9.1","0.20"
"new brunswick","6.3","2.1","8.0","0.17"
"quebec","62.5","1.8","9.0","0.17"
"ontario","160.2","2.6","9.0","0.24"
"manitoba","11.2","1.9","7.1","0.14"
"saskatchewan","9.3","2.0","10.6","0.21"
"alberta","42.1","2.2","10.7","0.23"
"british columbia","71.0","3.4","9.7","0.33"
"yukon","0.6","3.4","14.8","0.50"
"northwest territories","0.6","2.6","16.2","0.42"
"nunavut","0.3","2.8","16.9","0.47"
