"club","season","league","league","cup","cup","europe","europe","other","other","total","total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"asteras tripolis","2011-12","15","0","2","0","none","none","none","none","17","0"
"asteras tripolis","2012-13","15","0","5","0","3","0","5","0","28","0"
"asteras tripolis","2013-14","14","0","2","0","2","0","4","0","22","0"
"asteras tripolis","2014-15","21","1","1","0","7","1","5","1","34","3"
"asteras tripolis","2015-16","20","0","2","0","4","0","none","none","26","0"
"asteras tripolis","2016-17","4","0","none","none","none","none","none","none","4","0"
"asteras tripolis","total","89","1","12","0","16","1","14","1","131","3"
"panathinaikos","2016-17","15","0","2","0","none","none","4","0","21","0"
"panathinaikos","2017-18","23","0","3","0","4","0","0","0","30","0"
"panathinaikos","2018-19","22","2","2","0","0","0","0","0","24","2"
"panathinaikos","total","60","2","7","0","4","0","4","0","75","2"
"total","total","149","3","19","0","20","1","18","1","206","5"
