"characteristic","fy 2018","fy 2019","% change"
"all r&d and r&d plant expenditures","2542700","2437174","-4.2"
"all r&d plant expenditures","13836","10291","-25.6"
"all r&d expenditures","2537344","2426883","-4.4"
"source of funds","","",""
"federal government","532150","560856","5.4"
"state government and other nonfederal sources","2005194","1866027","-6.9"
"performer","","",""
"intramurala","635483","676171","6.4"
"extramural","1901861","1750712","-7.9"
"higher education institutions","1080933","1024317","-5.2"
"companies and individuals","444100","438222","-1.3"
"other","376828","288173","-23.5"
"intramural by type of r&d","","",""
"basic research","110157","128919","17"
"applied research","502823","524336","4.3"
"experimental development","22502","22916","1.8"
"r&d project by government function","","",""
"agriculture","131385","136396","3.8"
"energy","397037","323154","-18.6"
"environment and natural resources","422890","452270","6.9"
"health","1103232","1082056","-1.9"
"transportation","258419","260025","0.6"
"otherb","224383","172982","-22.9"
