"year","single","chart positions","chart positions","chart positions","chart positions","chart positions","chart positions","chart positions","chart positions","chart positions","chart positions","certifications","album"
"year","single","us","us country","aus","aut","can","can country","ger","ire","ned","uk","certifications","album"
"1996","blue","26","10","10","-","-","1","-","-","-","23","riaa: gold aria: gold","blue"
"1996","hurt me","-","43","89","-","-","35","-","-","-","-","none","blue"
"1996","one way ticket","-","1","52","-","-","4","-","-","-","-","none","blue"
"1996","unchained melody","-","3","-","-","-","3","-","-","-","-","none","blue"
"1997","the light in your eyes","-","5","-","-","-","13","-","-","-","-","none","blue"
"1997","how do i live","2","43","17","24","2","82","22","14","5","7","riaa: 3× platinum bpi: platinum","n/a"
"1997","you light up my life","34","48","76","-","-","57","-","-","-","-","riaa: gold","you light up my life: inspirational songs"
"1998","on the side of angels","-","4","-","-","-","9","-","-","-","-","none","you light up my life: inspirational songs"
"1998","looking through your eyes","18","-","-","-","-","-","-","-","-","38","riaa: gold","quest for camelot: music from the motion picture"
"1998","commitment","-","4","59","-","-","4","-","-","-","38","riaa: gold","sittin' on top of the world"
"1998","nothin' new under the moon","-","10","-","-","-","5","-","-","-","-","none","sittin' on top of the world"
"1998","these arms of mine","-","41","-","-","-","52","-","-","-","-","none","sittin' on top of the world"
"1998","feels like home","-","-","-","-","-","-","-","-","-","-","none","sittin' on top of the world"
"1999","big deal","23","6","-","-","-","3","-","-","-","-","none","leann rimes"
"1999","crazy","-","-","-","-","-","-","-","-","-","36","none","leann rimes"
