"","job satisfaction score of 8 or higher","high to very high extent of control over order of work","high to very high extent of control over how to do work","high to very high extent of control over speed of work","high to very high extent of control over hours of work"
"","percent","percent","percent","percent","percent"
"sex","","","","",""
"male","49.1","40.6","37.0","32.3","19.4"
"female","51.2","40.3","33.4","28.9","18.7"
"age","","","","",""
"18 to 24","44.5","33.2","30.2","29.1","22.4"
"25 to 34","50.2","42.4","36.4","31.3","20.4"
"35 to 44","48.9","44.4","38.0","32.4","19.5"
"45 to 54","51.7","40.8","35.2","29.8","16.6"
"55 to 64","53.7","36.2","33.0","29.5","17.6"
"education","","","","",""
"no postsecondary education","47.9","27.9","26.7","26.4","15.5"
"postsecondary below bachelor's level","50.8","41.6","34.5","31.5","16.4"
"postsecondary at bachelor's level or above","51.3","49.8","43.2","33.3","24.9"
"occupational group","","","","",""
"manufacturing and utilities","42.5","20.4","19.9","16.2","x"
"natural resources and agriculture","52.9","26.1","24.0","19.6","x"
"trades, transport and equipment operators","50.1","26.5","26.7","27.1","9.2"
"sales and service","42.4","35.3","29.9","30.5","19.1"
"art, culture, recreation and sport","51.8","45.9","42.8","30.7","24.4"
"education, law and social, community and government services","56.1","43.3","41.1","29.3","15.0"
"health","52.9","25.5","19.9","19.9","11.4"
"natural and applied sciences","50.1","50.4","46.3","34.4","28.6"
"business, finance and administration","51.2","49.8","37.2","34.9","24.3"
"management","56.1","65.6","58.6","46.8","34.8"
