"year","team","games","games","passing","passing","passing","passing","passing","passing","passing","passing","rushing","rushing","rushing","rushing","fumbles","fumbles"
"year","team","gp","gs","comp","att","pct","yds","avg","td","int","rtg","att","yds","avg","td","fum","lost"
"2012","mia","16","16","282","484","58.3","3,294","6.8","12","13","76.1","49","211","4.3","2","9","4"
"2013","mia","16","16","355","588","60.4","3,913","6.7","24","17","81.7","40","238","6.0","1","9","5"
"2014","mia","16","16","392","590","66.4","4,045","6.9","27","12","92.8","56","311","5.6","1","9","2"
"2015","mia","16","16","363","586","61.9","4,208","7.2","24","12","88.7","32","141","4.4","1","10","3"
"2016","mia","13","13","261","389","67.1","2,995","7.7","19","12","93.5","39","164","4.2","1","9","3"
"2017","mia","0","0","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury","did not play due to injury"
"2018","mia","11","11","176","274","64.2","1,979","7.2","17","9","92.7","32","145","4.5","0","5","4"
"career","career","88","88","1,829","2,911","62.8","20,434","7.0","123","75","87.0","248","1,210","4.9","6","51","21"
"sources:","sources:","sources:","sources:","sources:","sources:","sources:","sources:","sources:","sources:","sources:","sources:","sources:","sources:","sources:","sources:","sources:","sources:"
