"year","n.l","p.e.i","n.s","n.b","que","ont","man","sask","alta","b.c","y.t","n.w.t","nvt","canada"
"year","number","number","number","number","number","number","number","number","number","number","number","number","number","number"
"2007","34","7","29","31","379","723","111","77","296","176","3","3","12","1,881"
"2008","25","3","32","24","379","753","101","85","317","166","2","7","13","1,911"
"2009","31","5","31","43","389","705","100","96","284","161","3","11","13","1,872"
"2010","26","5","41","25","440","695","106","84","299","166","2","1","12","1,902"
"2011","28","6","43","25","399","664","120","97","267","171","0","5","24","1,849"
"2012","25","5","40","40","441","684","92","80","223","166","1","3","18","1,818"
"2013","29","3","29","33","438","681","93","111","285","161","1","5","15","1,884"
"2014","28","2","38","28","383","641","103","88","275","187","2","4","15","1,794"
"2015","21","3","34","27","417","618","107","81","262","148","4","4","11","1,737"
"2016","19","10","41","34","368","659","93","90","248","156","3","4","16","1,741"
"","rate per 1,000","rate per 1,000","rate per 1,000","rate per 1,000","rate per 1,000","rate per 1,000","rate per 1,000","rate per 1,000","rate per 1,000","rate per 1,000","rate per 1,000","rate per 1,000","rate per 1,000","rate per 1,000"
"2007","7.5","5.0","3.3","4.3","4.5","5.2","7.3","5.8","6.0","4.0","8.5","4.1","15.1","5.1"
"2008","5.1","2.0","3.5","3.2","4.3","5.4","6.5","6.2","6.2","3.8","5.4","9.7","16.2","5.1"
"2009","6.3","3.4","3.4","5.8","4.4","5.0","6.3","6.7","5.5","3.6","7.8","15.5","14.8","4.9"
"2010","5.3","3.6","4.6","3.4","5.0","5.0","6.7","5.9","5.9","3.8","5.2","1.4","14.5","5.0"
"2011","6.3","4.2","4.9","3.5","4.5","4.7","7.7","6.8","5.2","3.9","0.0","7.2","28.7","4.9"
"2012","5.7","3.8","4.6","5.7","5.0","4.8","5.6","5.4","4.2","3.8","2.3","4.4","21.4","4.8"
"2013","6.4","2.1","3.4","4.7","4.9","4.9","5.6","7.5","5.3","3.7","2.5","7.5","16.4","5.0"
"2014","6.1","1.4","4.4","4.0","4.4","4.6","6.2","5.7","4.9","4.2","4.9","6.0","16.7","4.7"
"2015","4.7","2.2","4.1","4.1","4.8","4.4","6.4","5.3","4.6","3.3","9.2","5.9","12.8","4.5"
"2016","4.3","7.1","4.9","5.1","4.3","4.7","5.5","5.8","4.4","3.4","6.8","6.2","17.7","4.5"
