"club","season","league","league","league","national cup","national cup","league cup","league cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"guadalajara","2010-11","liga mx","20","6","0","0","-","-","20","6","none","none"
"guadalajara","2011-12","liga mx","25","7","0","0","-","-","3","0","28","7"
"guadalajara","2012-13","liga mx","20","1","0","0","-","-","3","1","23","2"
"guadalajara","total","total","65","14","0","0","0","0","6","1","71","15"
"chivas usa","2013","major league soccer","15","7","0","0","-","-","15","7","none","none"
"chivas usa","2014","major league soccer","29","15","1","0","-","-","30","15","none","none"
"chivas usa","total","total","44","22","1","0","0","0","0","0","45","22"
"guadalajara","2014-15","liga mx","5","2","9","3","-","-","14","5","none","none"
"houston dynamo","2015","major league soccer","11","0","1","0","-","-","12","0","none","none"
"houston dynamo","2016","major league soccer","11","0","0","0","-","-","11","0","none","none"
"houston dynamo","2017","major league soccer","27","14","0","0","4","0","-","-","31","14"
"houston dynamo","total","total","49","14","1","0","4","0","0","0","68","14"
"cruz azul","2016-17","liga mx","3","0","0","0","-","-","3","0","none","none"
"unam","2017-18","liga mx","5","0","3","2","-","-","8","2","none","none"
"tijuana","2018-19","liga mx","13","1","5","1","-","-","18","2","none","none"
"career totals","career totals","career totals","184","53","19","6","4","0","6","1","213","60"
