"characteristic","adjusted odds ratio","95% confidence interval","95% confidence interval"
"characteristic","adjusted odds ratio","from","to"
"age group","","",""
"15 to 19","14.49","7.14","29.38"
"20 to 24","10.93","5.10","23.45"
"25 to 29","8.65","3.59","20.85"
"30 to 34","8.03","3.57","18.03"
"35 to 39","3.75","1.73","8.09"
"40 to 49","1.00","1.00","1.00"
"marital status","","",""
"married","1.00","1.00","1.00"
"common-law","1.63","0.87","3.05"
"previously married","0.74","0.33","1.69"
"single, never married","1.35","0.68","2.70"
"parity","","",""
"nulliparous","2.09","1.27","3.42"
"parous","1.00","1.00","1.00"
"sexually active in past year","","",""
"no","1.00","1.00","1.00"
"yes","3.96","1.52","10.37"
"immigrant","","",""
"no","2.66","1.21","5.84"
"yes","1.00","1.00","1.00"
"household income","","",""
"lower","1.00","1.00","1.00"
"higher","1.11","0.66","1.89"
"has regular doctor","","",""
"no","0.56","0.28","1.10"
"yes","1.00","1.00","1.00"
