"","men","men","men","women","women","women"
"","change between 2000 and 2017","change between 2000 and 2017","difference","change between 2000 and 2017","change between 2000 and 2017","difference"
"","canada","united states","difference","canada","united states","difference"
"","percentage points","percentage points","percentage points","percentage points","percentage points","percentage points"
"changes in employment shares","","","","","",""
"agriculture, forestry, fishing and hunting","-1.5","-0.3","1.2","-0.6","-0.1","0.5"
"mining, quarrying and oil and gas extraction","0.8","0.2","-0.5","0.1","0.0","-0.1"
"construction","5.6","0.1","-5.5","0.8","-0.3","-1.1"
"manufacturing","-7.2","-7.2","-0.1","-3.0","-4.0","-1.0"
"wholesale trade and retail trade","-0.2","-0.8","-0.6","0.2","-1.2","-1.5"
"finance, insurance and real estate","0.1","0.1","0.0","-0.8","-1.2","-0.4"
"educational services, health care and social assistance","0.2","0.6","0.4","4.8","1.0","-3.9"
"accommodation and food services","1.0","1.3","0.3","1.0","1.4","0.5"
"public administration","-0.4","-0.1","0.3","-0.1","-0.7","-0.6"
"other services","0.9","1.2","0.3","1.2","-0.4","-1.6"
"changes in employment rate","-0.7","-5.0","-4.2","3.8","-5.4","-9.2"
