"club","season","league","league","league","national cup","national cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"valerenga","2005","tippeligaen","0","0","1","0","2","0","none","none","3","0"
"valerenga","2006","tippeligaen","4","0","0","0","none","none","4","0","none","none"
"valerenga","2007","tippeligaen","1","0","0","0","none","none","1","0","none","none"
"valerenga","total","total","5","0","1","0","2","0","none","none","8","0"
"hamkam","2007","1. divisjon","1","0","0","0","none","none","1","0","none","none"
"hamkam","total","total","1","0","0","0","none","none","none","none","1","0"
"kongsvinger","2007","1. divisjon","7","0","0","0","none","none","7","0","none","none"
"kongsvinger","total","total","7","0","0","0","none","none","none","none","7","0"
"kongsvinger","2008","1. divisjon","28","0","0","0","none","none","28","0","none","none"
"kongsvinger","2009","1. divisjon","24","0","1","0","none","none","25","0","none","none"
"kongsvinger","total","total","52","0","1","0","none","none","none","none","53","0"
"lyn","2010","1. divisjon","10","0","3","0","none","none","13","0","none","none"
"lyn","total","total","10","0","3","0","none","none","none","none","13","0"
"atvidaberg","2010","allsvenskan","11","0","0","0","none","none","11","0","none","none"
"atvidaberg","2011","superettan","17","0","0","0","none","none","17","0","none","none"
"atvidaberg","total","total","28","0","0","0","none","none","none","none","28","0"
"strømmen","2012","1. divisjon","27","0","1","0","none","none","28","0","none","none"
"strømmen","2013","1. divisjon","29","2","1","0","none","none","30","2","none","none"
"strømmen","2014","1. divisjon","26","1","3","0","none","none","29","1","none","none"
"strømmen","2015","1. divisjon","29","2","4","0","none","none","33","2","none","none"
"strømmen","2016","1. divisjon","29","2","3","0","none","none","32","2","none","none"
"strømmen","2017","1. divisjon","26","1","1","0","none","none","27","1","none","none"
"strømmen","total","total","166","8","13","0","none","none","none","none","179","8"
"stabæk","2018","eliteserien","5","0","2","0","none","none","7","0","none","none"
"stabæk","2019","eliteserien","1","0","0","0","none","none","1","0","none","none"
"stabæk","total","total","6","0","2","0","none","none","none","none","8","0"
"career total","career total","career total","275","8","20","0","2","0","none","none","297","8"
