"","number","weighted %","% of persons not vaccinated against seasonal influenza"
"total","108,700","100.00","68.20"
"age","","",""
"18 to 24 years","9,180","11.7","86.1"
"25 to 44 years","27,590","34.4","79.4"
"45 to 64 years","38,265","35.9","67.8"
"65 to 74 years","19,550","11.2","41.2"
"75 years and older","14,115","6.8","27.8"
"sex","","",""
"men","47,680","48.9","72.0"
"women","61,025","51.1","64.6"
"province or territory","","",""
"newfoundland and labrador","3,320","1.5","72.4"
"prince edward island","1,675","0.4","65.4"
"nova scotia","4,515","2.7","52.1"
"new brunswick","4,195","2.1","62.0"
"quebec","20,870","23.5","74.8"
"ontario","35,880","38.8","65.9"
"manitoba","6,265","3.3","69.8"
"saskatchewan","6,235","2.9","69.0"
"alberta","10,270","11.2","68.3"
"british columbia","12,825","13.2","66.7"
"yukon","1,070","0.1","69.1"
"northwest territories","1,030","0.1","64.7"
"nunavut","555","0.1","68.6"
"education","","",""
"high school or less","40,970","32.6","66.9"
"postsecondary below the bachelor's level","44,040","40.4","71.0"
"university degree","21,950","25.3","65.7"
"total household income","","",""
"$0 to $29,999","23,985","16.3","64.5"
"$30,000 to $59,999","31,500","26.3","66.2"
"$60,000 to $89,999","21,970","21.1","70.0"
"$90,000 or more","31,245","36.2","70.4"
"country of birth","","",""
"other","16,200","25.3","67.8"
"canada","90,125","71.6","68.4"
"aboriginal identity","","",""
"none","100,280","93.3","68.1"
"first nations","2,630","1.6","72.2"
"metis","2,280","1.5","70.9"
"inuk or inuit","560","0.1","71.8"
"mother tongue","","",""
"english","68,035","53.1","65.8"
"french","22,690","20.5","72.2"
"other","15,820","23.6","70.4"
"area of residence","","",""
"urban","78,485","82.0","68.0"
"rural","30,215","18.0","69.3"
"has a family doctor","","",""
"no","13,995","15.6","86.7"
"yes","94,625","84.3","64.8"
"has a cmc","","",""
"no","80,475","79.5","73.0"
"yes","28,230","20.5","49.9"
"self-perceived health","","",""
"excellent","19,995","20.6","72.2"
"very good","40,400","38.4","70.5"
"good","33,070","29.6","67.4"
"fair","11,270","8.5","57.1"
"poor","3,820","2.8","51.3"
