"year","team","games","games","rushing","rushing","rushing","rushing","rushing","rushing","fumbles","fumbles"
"year","team","g","gs","att","yards","avg","long","td","fd","fum","lost"
"1993","lar","16","12","294","1,429","4.9","71","7","79","3","1"
"1994","lar","16","16","319","1,025","3.2","19","3","53","5","3"
"1995","stl","15","13","183","637","3.5","41","3","24","4","2"
"1996","pit","16","12","320","1,431","4.5","50","11","76","6","4"
"1997","pit","15","15","375","1,665","4.4","34","7","94","6","6"
"1998","pit","15","15","316","1,185","3.8","42","3","58","2","1"
"1999","pit","16","16","299","1,091","3.6","35","7","64","2","1"
"2000","pit","16","16","355","1,341","3.8","30","8","71","1","0"
"2001","pit","11","11","225","1,072","4.8","48","4","46","3","0"
"2002","pit","13","11","187","667","3.6","41","9","42","1","1"
"2003","pit","16","10","246","811","3.3","21","7","43","4","4"
"2004","pit","15","6","250","941","3.8","29","13","50","1","0"
"2005","pit","12","0","110","368","3.3","39","9","30","0","0"
"career","career","192","152","3,479","13,662","3.9","71","91","730","38","23"
