"club","season","league","league","league","fa cup","fa cup","league cup","league cup","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"hibernian","1993-94","scottish premier division","2","0","0","0","0","0","0","0","2","0"
"hibernian","1994-95","scottish premier division","23","5","0","0","0","0","0","0","23","5"
"hibernian","1995-96","scottish premier division","16","3","1","0","2","0","0","0","19","3"
"hibernian","1996-97","scottish premier division","27","5","4","0","1","0","0","0","32","5"
"hibernian","1997-98","scottish premier division","27","1","1","0","1","0","0","0","29","1"
"hibernian","1998-99","scottish first division","2","1","0","0","1","0","0","0","3","1"
"hibernian","total","total","97","15","6","0","5","0","0","0","108","15"
"derby county","1998-99","premier league","27","1","3","1","3","0","0","0","33","2"
"derby county","1999-2000","premier league","5","0","0","0","3","0","0","0","8","0"
"derby county","total","total","32","1","3","1","6","0","0","0","41","2"
"walsall","1999-2000","first division","9","1","0","0","0","0","0","0","9","1"
"walsall","total","total","9","1","0","0","0","0","0","0","9","1"
"portsmouth","1999-2000","first division","12","2","0","0","0","0","0","0","12","2"
"portsmouth","2000-01","first division","24","2","1","0","0","0","0","0","25","2"
"portsmouth","2001-02","first division","39","1","1","0","1","0","0","0","41","1"
"portsmouth","2002-03","first division","37","4","1","0","2","0","0","0","40","4"
"portsmouth","2003-04","premier league","7","0","2","0","0","0","0","0","9","4"
"portsmouth","2004-05","premier league","0","0","0","0","1","0","0","0","1","0"
"portsmouth","total","total","119","9","5","0","4","0","0","0","128","9"
"norwich city","2003-04","first division","9","0","0","0","0","0","0","0","9","0"
"norwich city","total","total","9","0","0","0","0","0","0","0","9","0"
"leicester city","2004-05","championship","2","0","0","0","0","0","0","0","2","0"
"leicester city","total","total","2","0","0","0","0","0","0","0","2","0"
"stoke city","2004-05","championship","9","0","0","0","0","0","0","0","9","0"
"stoke city","2005-06","championship","14","1","2","0","1","0","0","0","17","1"
"stoke city","2006-07","championship","3","0","0","0","1","0","0","0","4","0"
"stoke city","total","total","26","1","2","0","2","0","0","0","30","1"
"carlisle united","2006-07","league one","7","0","0","0","1","0","0","0","8","0"
"carlisle united","total","total","7","0","0","0","1","0","0","0","8","0"
"walsall","2006-07","league one","10","4","0","0","0","0","0","0","10","4"
"walsall","total","total","10","4","0","0","0","0","0","0","10","4"
"dunfermline athletic","2007-08","scottish premier division","15","4","1","0","0","0","2","0","18","4"
"dunfermline athletic","2008-09","scottish premier division","14","1","0","0","4","0","0","0","18","1"
"dunfermline athletic","total","total","29","5","1","0","4","0","2","0","36","5"
"career total","career total","career total","340","36","17","1","22","0","2","0","381","37"
