"","number","percentage points"
"devitalization factors","",""
"non-transmission of mother tongue","-7,075","-23.4"
"complete language transfers","-630","-2.1"
"total losses","-7,705","-25.5"
"mitigating factors","",""
"knowledge of mother tongue without using it at home","475","1.6"
"use of inuktut at home among inuit who do not report it as mother tongue","3,445","11.4"
"main use","525","1.7"
"secondary use","2,920","9.7"
"secondary speakers","450","1.5"
"total mitigating factors","4,370","14.5"
"mitigating factors","",""
"transmission of inuit mother tongue to non-inuit","105","0.3"
"use of inuktut at home among non-inuit who do not report it as mother tongue","225","0.7"
"secondary speakers","130","0.4"
"total mitigating factors","460","1.5"
"sum of mitigating factors","4,830","16.0"
"sum of devitalization factors and mitigating factors","-2,875","-9.5"
