"rank","athlete","heptathlon","heptathlon","heptathlon","heptathlon","heptathlon","heptathlon","heptathlon","points"
"rank","athlete","1","2","3","4","5","6","7","points"
"1","jessica ennis","12.89","1.91","14.25","23.31","6.13","43.40","2:11.19","6689"
"2","tatyana chernova","13.47","1.82","13.66","24.47","6.52","51.35","2:13.97","6572"
"3","lyudmyla yosypenko","13.77","1.85","12.99","24.64","6.20","48.69","2:20.69","6260"
"4","jennifer oeser","13.48","1.79","11.40","24.53","6.40","43.49","2:13.50","6193"
"5","marina goncharova","14.10","1.82","13.11","25.65","5.97","50.68","2:12.95","6165"
"6","yana maksimava","14.41","1.88","14.15","25.61","5.80","41.01","2:13.23","6031"
"7","nataliya dobrynska","14.13","1.79","15.72","25.35","5.83","42.16","2:19.82","6023"
"8","eliska klucinova","14.46","1.76","13.84","25.26","6.07","46.78","2:18.08","6007"
"9","bettie wade","14.00","1.82","13.62","25.07","6.29","37.62","2:21.17","6000"
"10","antoinette nana djimou ida","13.65","1.73","13.45","24.76","6.07","44.26","2:22.54","5994"
"11","claudia rath","14.18","1.76","12.08","24.22","6.21","38.95","2:13.46","5984"
"12","jessica zelinka","13.53","1.67","13.64","24.54","5.78","42.18","2:13.99","5962"
"13","linda zublin","13.65","1.61","13.38","24.70","5.90","47.23","2:15.97","5948"
"14","hanna melnychenko","13.87","1.76","13.19","24.86","6.02","37.84","2:19.42","5878"
"15","marisa de aniceto","13.98","1.76","11.99","25.64","5.73","48.08","2:17.43","5848"
"16","remona fransen","14.14","1.82","12.87","24.98","5.97","33.78","2:16.38","5831"
"17","louise hazel","13.49","1.55","12.35","24.31","5.99","44.13","2:17.28","5819"
"18","francesca doveri","13.71","1.70","12.23","24.78","5.86","33.59","2:17.36","5670"
"19","jana koresova","13.61","1.64","11.35","24.80","5.69","32.18","2:13.62","5526"
"20","ida marcussen","15.02","1.67","12.86","26.02","5.85","40.73","2:16.65","5525"
"21","nadezhda sergeeva","14.78","1.70","13.80","26.56","5.68","35.12","2:19.30","5416"
"none","none","none","none","none","none","none","none","none","none"
"-","sara aerts","13.36","1.70","12.98","26.11","-","-","-","dnf"
"-","phyllis agbo","13.89","1.70","12.60","25.00","nm","38.38","-","dnf"
"-","hyleas fountain","12.87","1.79","13.45","24.06","6.30","-","-","dnf"
"-","maren schwerdtner","13.89","1.70","13.59","25.07","5.84","-","-","dnf"
"-","yvonne van langen","13.48","1.76","13.15","24.38","5.69","-","-","dnf"
