"club","season","division","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"vitesse arnhem","2013-14","eredivisie","2","0","1","0","0","0","0","0","3","0"
"strømsgodset","2014","tippeligaen","12","1","1","0","0","0","0","0","13","1"
"port vale","2014-15","league one","1","0","0","0","0","0","0","0","1","0"
"wigan athletic","2015-16","league one","10","1","1","0","0","0","1","0","12","1"
"everton","2012-13","premier league","0","0","0","0","1","0","0","0","1","0"
"everton","2013-14","premier league","0","0","0","0","0","0","0","0","0","0"
"everton","2014-15","premier league","0","0","0","0","0","0","0","0","0","0"
"everton","2015-16","premier league","0","0","0","0","0","0","0","0","0","0"
"everton","total","total","0","0","0","0","1","0","0","0","1","0"
"strømsgodset","2016","tippeligaen","20","0","5","1","0","0","2","0","27","1"
"strømsgodset","2017","eliteserien","29","1","1","0","0","0","0","0","30","1"
"strømsgodset","2018","eliteserien","18","0","4","0","0","0","0","0","22","0"
"strømsgodset","total","total","67","1","10","1","0","0","2","0","79","2"
"vendsyssel ff","2018","superligaen","18","0","4","0","0","0","0","0","22","0"
"career total","career total","career total","92","3","13","1","1","0","3","0","109","4"
