"province and territory","total youth crime severity index","total youth crime severity index","total youth crime severity index","youth violent crime severity index","youth violent crime severity index","youth non-violent crime severity index","youth non-violent crime severity index"
"province and territory","index","percent change in rate 2016 to 2017","percent change 2007 to 2017","index","percent change in rate 2016 to 2017","index","percent change in rate 2016 to 2017"
"newfoundland and labrador","63.0","2","-39","55.2","4","67.8","2"
"prince edward island","29.7","-7","-58","30.0","9","29.3","-15"
"nova scotia","69.4","-15","-50","82.7","-8","59.7","-21"
"new brunswick","52.5","-10","-45","53.0","-4","51.7","-14"
"quebec","59.0","0","-2","78.4","-1","45.2","2"
"ontario","58.3","11","-40","84.5","23","39.9","-2"
"manitoba","132.0","14","-37","180.5","40","97.7","-7"
"saskatchewan","159.3","-8","-47","154.4","-7","161.2","-10"
"alberta","57.4","-2","-48","65.2","4","51.5","-7"
"british columbia","37.4","2","-50","41.7","11","34.1","-4"
"yukon","178.5","-9","-40","142.8","-28","201.2","5"
"northwest territories","283.7","4","-40","228.6","48","318.7","-9"
"nunavut","271.9","-9","-33","205.2","1","314.9","-13"
"canada","63.3","3","-38","81.2","12","50.6","-4"
