"year","newfoundland and labrador","prince edward island","nova scotia","new brunswick","quebec","ontario","manitoba","saskatchewan","alberta","british columbia","northwest territories","yukon","nunavut"
"year","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent"
"2002","4.8","2.9","2.4","2.6","2.6","0.9","1.6","2.8","1.6","1.2","2.8","4.8","4.6"
"2003","4.6","3.1","2.4","2.4","2.7","0.8","1.5","3.2","1.5","1.2","2.5","4.8","3.8"
"2004","4.6","2.9","2.5","2.4","2.7","0.8","1.5","3.7","1.5","1.3","2.4","4.3","3.0"
"2005","5.6","3.4","2.9","3.0","2.8","0.9","1.8","4.1","1.6","1.5","2.5","5.1","3.2"
"2006","7.6","4.5","3.5","3.4","2.9","0.9","2.0","4.7","1.5","1.6","2.6","5.4","3.2"
"2007","9.2","5.3","4.1","4.0","3.0","1.0","2.0","4.9","1.5","1.8","2.6","5.4","3.0"
"2008","11.1","6.3","4.7","4.6","3.0","1.1","2.1","5.1","1.4","2.1","2.4","5.0","3.4"
"2009","8.3","5.1","3.9","3.6","3.1","1.1","1.8","4.1","1.3","2.0","1.9","4.2","2.1"
"2010","8.8","5.2","4.1","4.0","3.1","1.1","1.9","4.2","1.6","2.2","2.1","3.6","2.1"
"2011","8.5","6.2","4.5","4.6","3.1","1.2","2.3","4.6","1.5","2.6","2.4","4.2","2.0"
