"sex, citizenship, ethnicity, race, and field","2010","2011","2012","2013","2014olda","2014newa","2015","% change","% change"
"sex, citizenship, ethnicity, race, and field","2010","2011","2012","2013","2014olda","2014newa","2015","2014new-15","2010-14old"
"all surveyed fields","63439","62639","62851","61942","62379","63593","63861","0.4","-1.7"
"male","38869","38167","38166","37585","37752","38491","38566","0.2","-2.9"
"female","24570","24472","24685","24357","24627","25102","25295","0.8","0.2"
"u.s. citizens and permanent residentsb","30155","29712","29864","29546","29630","30095","28726","-4.5","-1.7"
"male","16920","16556","16452","16218","16165","16429","15439","-6","-4.5"
"female","13235","13156","13412","13328","13465","13666","13287","-2.8","1.7"
"hispanic or latino","1276","1359","1351","1490","1501","1543","1526","-1.1","17.6"
"not hispanic or latino","","","","","","","","",""
"american indian or alaska native","97","90","85","121","96","98","85","-13.3","-1"
"asian","5944","5638","5367","5440","5300","5430","5114","-5.8","-10.8"
"black or african american","980","1042","1104","1132","1197","1209","1061","-12.2","22.1"
"native hawaiian or other pacific islander","94","85","99","77","76","77","82","6.5","-19.1"
"white","17256","17286","17280","17348","17179","17448","17239","-1.2","-0.4"
"more than one race","143","221","186","263","249","256","394","53.9","74.1"
"unknown ethnicity and race","4365","3991","4392","3675","4032","4034","3225","-20.1","-7.6"
"temporary visa holders","33284","32927","32987","32396","32749","33498","35135","4.9","-1.6"
"male","21949","21611","21714","21367","21587","22062","23127","4.8","-1.6"
"female","11335","11316","11273","11029","11162","11436","12008","5","-1.5"
"science and engineering","44320","44121","43841","43395","43476","44623","45295","1.5","-1.9"
"science","37351","37335","36738","36289","36184","37316","37639","0.9","-3.1"
"agricultural sciences","1190","1256","1290","1319","1395","1402","1525","8.8","17.2"
"biological sciences","21726","21107","20086","19330","18749","19554","19304","-1.3","-13.7"
"computer sciences","763","759","760","765","833","834","888","6.5","9.2"
"earth, atmospheric, and ocean sciences","1740","1774","1956","2032","2059","2061","2129","3.3","18.3"
"mathematics and statistics","791","830","902","932","956","959","1011","5.4","20.9"
"multidisciplinary and interdisciplinary studies","785","704","742","891","1045","1045","972","-7","33.1"
"neuroscience","838","1398","1525","1696","1778","1878","1957","4.2","112.2"
"physical sciences","7583","7490","7430","7197","7089","7277","7358","1.1","-6.5"
"psychology","1132","1124","1132","1023","1062","1066","1130","6","-6.2"
"social sciences","711","774","799","938","1050","1051","1179","12.2","47.7"
"other sciencesc","92","119","116","166","168","189","186","-1.6","82.6"
"engineering","6969","6786","7103","7106","7292","7307","7656","4.8","4.6"
"aerospace engineering","212","202","170","202","220","220","217","-1.4","3.8"
"biomedical engineering","1023","1069","1161","1103","1196","1198","1201","0.3","16.9"
"chemical engineering","1077","1137","1098","1230","1244","1244","1283","3.1","15.5"
"civil engineering","571","551","590","587","629","629","670","6.5","10.2"
"electrical engineering","1095","1035","1152","1180","1177","1179","1160","-1.6","7.5"
"industrial and manufacturing engineering","151","121","127","133","131","131","142","8.4","-13.2"
"mechanical engineering","1021","889","985","1034","1055","1058","1161","9.7","3.3"
"metallurgical/materials engineering","841","860","854","809","776","780","911","16.8","-7.7"
"other engineering","978","922","966","828","864","868","911","5","-11.7"
"health","19119","18518","19010","18547","18903","18970","18566","-2.1","-1.1"
"clinical medicine","16515","16165","16361","15831","16164","16216","15850","-2.3","-2.1"
"other health","2604","2353","2649","2716","2739","2754","2716","-1.4","5.2"
