"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"es tunis","2009-10","clp-1","18","2","0","0","0","0","-","-","18","2"
"es tunis","2010-11","clp-1","17","0","0","0","10","1","-","-","27","1"
"es tunis","2011-12","clp-1","16","0","0","0","11","1","2","0","29","1"
"es tunis","2012-13","clp-1","17","3","0","0","11","0","-","-","28","3"
"es tunis","2013-14","clp-1","27","4","0","0","10","0","-","-","37","4"
"es tunis","2014-15","clp-1","23","2","0","0","6","2","-","-","29","4"
"es tunis","2015-16","clp-1","0","0","0","0","4","1","-","-","4","1"
"es tunis","total","total","118","11","0","0","52","5","2","0","172","16"
"columbus crew sc","2015","mls","9","0","0","0","-","-","5","0","14","0"
"columbus crew sc","2016","mls","30","3","0","0","-","-","30","3","none","none"
"columbus crew sc","2017","mls","24","0","0","0","-","-","5","1","29","1"
"columbus crew sc","2018","mls","32","2","0","0","-","-","3","0","35","2"
"columbus crew sc","2019","mls","5","0","0","0","-","-","0","0","5","0"
"columbus crew sc","total","total","100","5","0","0","0","0","13","1","113","6"
"career total","career total","career total","218","16","0","0","52","5","15","1","285","22"
