"club","season","league","league","league","cup","cup","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"sampdoria","2011-12","serie b","2","1","0","0","-","-","2","1"
"sampdoria","2012-13","serie a","31","10","0","0","-","-","31","10"
"sampdoria","total","total","33","11","0","0","-","-","33","11"
"inter milan","2013-14","serie a","22","9","1","0","-","-","23","9"
"inter milan","2014-15","serie a","36","22","2","1","10","4","48","27"
"inter milan","2015-16","serie a","33","16","1","0","-","-","34","16"
"inter milan","2016-17","serie a","34","24","2","0","5","2","41","26"
"inter milan","2017-18","serie a","34","29","2","0","-","-","36","29"
"inter milan","2018-19","serie a","21","10","2","2","6","4","29","16"
"inter milan","total","total","180","110","10","3","21","10","211","123"
"career total","career total","career total","213","121","10","3","21","10","243","133"
