"club","season","division","league","league","national cup","national cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"fc martigues","1989-90","division 2","29","0","3","0","0","0","32","0"
"fc martigues","1990-91","division 2","31","0","1","0","0","0","32","0"
"fc martigues","1991-92","division 2","30","5","1","0","0","0","31","5"
"fc martigues","1992-93","division 2","32","0","3","1","0","0","35","1"
"fc martigues","1993-94","division 1","29","1","1","0","0","0","30","1"
"fc martigues","1994-95","division 1","15","1","3","0","0","0","18","1"
"fc martigues","total","total","166","7","12","1","0","0","178","8"
"gueugnon","1995-96","division 1","30","0","1","0","0","0","31","0"
"carlisle united","1996-97","third division","42","1","4","0","11","1","57","2"
"carlisle united","1997-98","second division","39","2","1","0","5","1","45","3"
"carlisle united","total","total","81","3","5","0","16","2","102","5"
"dundee","1998-99","scottish premier league","3","0","0","0","1","0","4","0"
"port vale","1998-99","first division","2","0","0","0","0","0","2","0"
"colchester united","1998-99","second division","15","1","0","0","0","0","15","1"
"scunthorpe united","1999-2000","second division","0","0","0","0","1","0","1","0"
"total","total","total","297","11","18","1","18","2","333","14"
