"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"bradford park avenue","1928-29","second division","4","2","0","0","0","0","4","2"
"bradford park avenue","1929-30","second division","6","4","0","0","0","0","6","4"
"bradford park avenue","1930-31","second division","21","19","3","1","0","0","24","20"
"bradford park avenue","1931-32","second division","17","11","1","1","0","0","18","12"
"bradford park avenue","1932-33","second division","9","3","0","0","0","0","9","3"
"bradford park avenue","total","total","57","39","4","2","0","0","61","41"
"port vale","1933-34","second division","30","11","1","0","0","0","31","11"
"port vale","1934-35","second division","35","6","1","0","0","0","36","6"
"port vale","1935-36","second division","28","6","2","1","0","0","30","7"
"port vale","1936-37","third division north","33","5","0","0","3","0","36","5"
"port vale","1937-38","third division north","13","0","0","0","1","0","14","0"
"port vale","total","total","139","28","4","1","4","0","147","29"
"career total","career total","career total","196","67","8","3","4","0","208","70"
