"club","season","league","league","league","cup","cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"flamurtari vlore","2007-08","albanian superliga","21","0","0","0","-","-","21","0","none","none"
"flamurtari vlore","2008-09","albanian superliga","28","0","4","0","-","-","32","0","none","none"
"flamurtari vlore","2009-10","albanian superliga","26","0","0","0","2","0","1","0","29","0"
"flamurtari vlore","2010-11","albanian superliga","21","1","0","0","-","-","21","1","none","none"
"flamurtari vlore","2011-12","albanian superliga","8","0","2","0","4","0","-","-","14","0"
"flamurtari vlore","total","total","104","1","6","0","6","0","1","0","117","1"
"apolonia fier","2011-12","albanian superliga","9","0","0","0","-","-","1","0","10","0"
"kastrioti kruje","2012-13","albanian superliga","19","1","4","0","-","-","23","1","none","none"
"flamurtari vlore","2013-14","albanian superliga","24","0","5","0","-","-","29","0","none","none"
"adriatiku mamurrasi","2014-15","albanian first division","3","0","1","0","-","-","4","0","none","none"
"laci","2014-15","albanian superliga","3","0","2","0","0","0","-","-","5","0"
"teuta durres","2015-16","albanian superliga","30","0","4","0","-","-","34","0","none","none"
"teuta durres","2016-17","albanian superliga","23","0","3","0","2","0","-","-","28","0"
"teuta durres","2017-18","albanian superliga","17","1","6","0","-","-","23","1","none","none"
"teuta durres","total","total","70","1","13","0","2","0","-","-","85","1"
"tirana","2018-19","albanian superliga","0","0","2","0","-","-","2","0","none","none"
"bylis ballsh","2018-19","albanian first division","0","0","0","0","-","-","0","0","none","none"
"career total","career total","career total","232","2","33","0","8","0","2","0","275","3"
