"club","season","division","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"burnley","1950-51","first division","30","5","1","0","-","-","0","0","31","5"
"burnley","1951-52","first division","28","4","0","0","-","-","0","0","28","4"
"burnley","1952-53","first division","38","11","3","1","-","-","0","0","41","12"
"burnley","1953-54","first division","40","17","3","1","-","-","0","0","43","18"
"burnley","1954-55","first division","40","3","1","0","-","-","0","0","41","3"
"burnley","1955-56","first division","24","4","5","1","-","-","0","0","29","5"
"burnley","1956-57","first division","40","13","5","3","-","-","0","0","45","16"
"burnley","1957-58","first division","36","16","3","3","-","-","0","0","39","19"
"burnley","1958-59","first division","40","6","5","1","-","-","0","0","45","7"
"burnley","1959-60","first division","32","6","6","1","-","-","0","0","38","7"
"burnley","1960-61","first division","33","10","7","1","3","1","5","1","48","13"
"burnley","1961-62","first division","36","15","8","1","0","0","0","0","44","16"
"burnley","1962-63","first division","22","6","3","0","0","0","0","0","25","6"
"burnley","total","total","439","116","50","13","3","1","5","1","497","131"
"stoke city","1962-63","second division","18","6","0","0","0","0","0","0","18","6"
"stoke city","1963-64","first division","32","9","4","3","7","0","0","0","43","12"
"stoke city","1964-65","first division","31","1","3","0","2","0","0","0","36","1"
"stoke city","1965-66","first division","17","0","0","0","2","0","0","0","19","0"
"stoke city","total","total","98","16","7","3","11","0","0","0","116","19"
"oldham athletic","1965-66","third division","12","0","0","0","0","0","0","0","12","0"
"oldham athletic","1966-67","third division","25","1","1","0","1","0","0","0","27","1"
"oldham athletic","1967-68","third division","2","0","0","0","1","0","0","0","3","0"
"oldham athletic","total","total","39","1","1","0","2","0","0","0","42","1"
"career total","career total","career total","576","133","58","16","16","1","5","1","655","151"
