"year","team","games","games","tackles","tackles","tackles","tackles","tackles","interceptions","interceptions","interceptions","interceptions","interceptions","interceptions","fumbles","fumbles"
"year","team","gp","gs","comb","total","ast","sck","sfty","pdef","int","yds","avg","lng","td","ff","fr"
"2011","was","16","16","63","41","22","7.5","0","4","1","9","9.0","9t","1","4","-"
"2012","was","16","16","54","42","12","8.5","0","8","1","28","28.0","28t","1","2","1"
"2013","was","16","16","66","47","19","8.5","-","3","-","-","0.0","-","-","4","-"
"2014","was","16","16","64","51","13","13.5","-","1","-","-","0.0","-","-","5","1"
"2015","was","16","16","42","33","9","9.5","-","3","-","-","0.0","-","-","2","-"
"2016","was","16","16","33","25","8","11.0","-","2","-","-","0.0","-","-","2","-"
"2017","was","16","16","46","34","12","13.0","0","1","1","24","24.0","24t","1","3","-"
"2018","was","16","16","43","30","13","13.0","-","1","-","-","0.0","-","-","3","-"
"career","career","128","128","411","303","108","84.5","0","23","3","61","20.3","28","3","25",""
