"statistics","mean","percentile","percentile","percentile"
"statistics","mean","25th","50th","75th"
"statistics","years","years","years","years"
"demographics","","","",""
"age","41.6","34.0","43.0","50.0"
"","percent","percent","percent","percent"
"female","49.5","..","..",".."
"male","50.5","..","..",".."
"married or in a common-law relationship","65.6","..","..",".."
"employment and income","","","",""
"has labour income","100.0","..","..",".."
"has other income","66.4","..","..",".."
"other characteristics","","","",""
"has disability allowances","0.4","..","..",".."
"","2010 constant dollars","2010 constant dollars","2010 constant dollars","2010 constant dollars"
"conditional income","","","",""
"labour income","49,200","20,100","41,550","65,950"
"other income","9,150","550","2,550","8,550"
