"fiscal year","all agencies","hhs","nsf","dod","usda","doe","nasa","other agenciesa"
"current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions"
"2012","31003","17939","5181","3653","1221","1037","984","989"
"2013","29353","16881","5023","3384","1136","1077","1004","848"
"2014","31095","17517","5092","3714","1301","1527","1087","857"
"2015","30494","17008","5295","3501","1424","1272","1135","859"
"constant fy 2009 $millions","constant fy 2009 $millions","constant fy 2009 $millions","constant fy 2009 $millions","constant fy 2009 $millions","constant fy 2009 $millions","constant fy 2009 $millions","constant fy 2009 $millions","constant fy 2009 $millions"
"2012","29580","17116","4943","3485","1165","989","939","944"
"2013","27533","15834","4712","3174","1066","1010","942","795"
"2014","28677","16155","4696","3425","1200","1408","1002","790"
"2015","27747","15476","4818","3186","1296","1157","1033","782"
