"","all economic immigrants","all economic immigrants","all economic immigrants","principal applicants","principal applicants","principal applicants","principal applicants"
"","all","principal applicants","spouse/ dependant","federal skilled workers","provincial programs","canadian experience class","other federal programs"
"","percent","percent","percent","percent","percent","percent","percent"
"2000","7.8","11.5","2.1","8.7","11.2","..","38.1"
"2001","7.5","11.0","2.2","8.1","11.3","..","41.0"
"2002","7.8","11.4","2.3","8.2","13.2","..","41.4"
"2003","9.0","13.0","2.7","7.8","13.8","..","59.1"
"2004","10.9","15.7","4.0","11.2","14.2","..","57.6"
"2005","9.9","14.8","3.5","9.5","13.7","..","57.6"
"2006","15.7","22.6","6.0","16.8","20.9","..","56.2"
"2007","18.1","25.8","7.1","20.9","22.9","..","59.2"
"2008","21.8","31.1","8.4","24.3","26.0","..","63.7"
"2009","24.8","34.6","9.8","24.3","29.9","97.7","60.9"
"2010","23.3","32.9","8.8","18.8","29.6","97.5","64.4"
"2011","23.2","32.7","8.7","14.1","29.9","97.9","55.9"
"2012","27.9","39.4","11.0","16.3","38.3","97.3","74.8"
"2013","33.1","44.9","13.8","15.4","49.2","97.9","63.3"
"2014","44.1","57.8","19.0","24.3","46.4","98.3","78.3"
"2015","43.5","58.6","18.4","14.2","59.1","98.3","83.4"
"2016","43.4","58.6","19.2","33.0","53.4","98.0","85.2"
"2017","52.2","67.3","23.5","22.3","56.4","97.7","94.9"
"2018","46.3","59.0","21.8","10.7","62.2","97.2","95.7"
