"","married or common-law","single or previously married","difference"
"","percent","percent","percentage points"
"participation rate","","",""
"aboriginal population","81.9","68.2","13.7"
"non-aboriginal population","88.1","83.7","4.4"
"difference between aboriginal population and non-aboriginal population","-6.2","-15.5",".."
"employment rate","","",""
"aboriginal population","75.1","57.8","17.3"
"non-aboriginal population","84.0","76.9","7.1"
"difference between aboriginal population and non-aboriginal population","-8.9","-19.1",".."
"unemployment rate","","",""
"aboriginal population","8.3","15.2","-6.9"
"non-aboriginal population","4.6","8.2","-3.6"
"difference between aboriginal population and non-aboriginal population","3.7","7.0",".."
