"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"acassuso","2013-14","primera b metropolitana","0","0","0","0","-","-","0","0","0","0"
"almirante brown","2014","primera b metropolitana","4","0","0","0","-","-","0","0","4","0"
"deportivo espanol","2015","primera b metropolitana","0","0","0","0","-","-","0","0","0","0"
"los andes","2016","primera b nacional","2","0","0","0","-","-","0","0","2","0"
"los andes","2016-17","primera b nacional","0","0","0","0","-","-","0","0","0","0"
"los andes","total","total","2","0","0","0","-","-","0","0","2","0"
"villa dalmine","2017-18","primera b nacional","4","0","0","0","-","-","0","0","4","0"
"villa dalmine","2018-19","primera b nacional","0","0","0","0","-","-","0","0","0","0"
"villa dalmine","total","total","4","0","0","0","-","-","0","0","4","0"
"career total","career total","career total","10","0","0","0","-","-","0","0","10","0"
