"","men","men","women","women"
"","coefficient","robust standard error","coefficient","robust standard error"
"intercept","9.931","0.016","9.443","0.018"
"years since landing","0.188","0.001","0.170","0.001"
"squared years since landing","-0.007","0.000","-0.006","0.000"
"years of prior canadian skilled work experience only","0.248","0.002","0.227","0.002"
"years of prior canadian non-skilled work experience","0.071","0.007","0.077","0.007"
"years of prior canadian study experience only","0.004","0.002","0.031","0.002"
"years of other prior canadian experience","0.074","0.002","0.062","0.002"
"years of prior canadian skilled work experience only interacted with years since landing","-0.036","0.000","-0.032","0.001"
"years of prior canadian non-skilled work experience interacted with years since landing","-0.025","0.002","-0.029","0.002"
"years of prior canadian study experience only interacted with years since landing","0.000","0.001","-0.003","0.001"
"years of other prior canadian experience interacted with years since landing","-0.019","0.000","-0.018","0.000"
"years of prior canadian skilled work experience only interacted with squared years since landing","0.002","0.000","0.001","0.000"
"years of prior canadian non-skilled work experience interacted with squared years since landing","0.001","0.000","0.001","0.000"
"years of prior canadian study experience only interacted with squared years since landing","0.000","0.000","0.000","0.000"
"years of other prior canadian experience interacted with squared years since landing","0.001","0.000","0.001","0.000"
