"province and territory","total crime severity index","total crime severity index","total crime severity index","violent crime severity index","violent crime severity index","non-violent crime severity index","non-violent crime severity index"
"province and territory","index","percent change 2016 to 2017","percent change 2007 to 2017","index","percent change 2016 to 2017","index","percent change 2016 to 2017"
"newfoundland and labrador","63.0","-9","-16","69.9","-5","60.4","-11"
"prince edward island","44.9","-7","-30","38.9","7","47.0","-11"
"nova scotia","65.9","6","-28","78.2","11","61.3","4"
"new brunswick","69.0","11","-2","69.6","5","68.7","14"
"quebec","57.1","2","-33","71.8","7","51.7","0"
"ontario","55.4","5","-26","68.7","7","50.5","4"
"manitoba","118.1","3","-22","159.8","5","102.9","2"
"saskatchewan","140.5","-6","-15","141.2","-5","139.9","-6"
"alberta","110.1","5","-4","96.3","5","114.8","5"
"british columbia","88.9","-5","-33","75.5","0","93.6","-7"
"yukon","189.3","1","2","261.6","9","162.8","-4"
"northwest territories","303.8","2","-10","361.6","7","282.3","0"
"nunavut","297.6","1","-6","472.3","10","234.1","-4"
"canada","72.9","2","-24","80.3","5","70.0","0"
