"characteristic","weighted estimates","weighted estimates","weighted estimates","weighted estimates","weighted estimates"
"characteristic","first nations","metis","inuit","visible minorities","non-aboriginal"
"characteristic","unweighted number","unweighted number","unweighted number","unweighted number","unweighted number"
"number","386,200","90,400","42,400","979,200","5,939,800"
"","average","average","average","average","average"
"average age","27.9","30.9","25.3","32.9","38.6"
"","median","median","median","median","median"
"median age","23.9","28.5","20.5","31.6","38.7"
"","percent","percent","percent","percent","percent"
"female","51.6","50.4","50.4","51.4","50.9"
"less than high school education","41.2","29.3","53.2","16.8","20.1"
"marital status","","","","",""
"divorced","9.3","11.8","4.4","5.8","9.6"
"legally married","36.7","47.2","40.4","66.4","57.8"
"separated, but still legally married","5.9","5.6","3.2","3.4","3.5"
"never legally married","42.8","31.2","46.6","20.0","22.4"
"widowed","5.3","4.2","5.4","4.5","6.8"
"employed","59.9","74.0","60.8","74.8","81.2"
"household income quintile","","","","",""
"quintile 1","48.3","26.4","33.7","27.2","16.8"
"quintile 2","21.5","22.4","26.7","22.9","20.0"
"quintile 3","13.7","19.6","17.9","19.4","20.8"
"quintile 4","9.9","18.0","13.0","16.4","21.1"
"quintile 5","6.5","13.6","8.7","14.1","21.3"
"","number","number","number","number","number"
"number of deaths","17,130","7,940","1,295","60,315","975,160"
