"","veterans released between 1954 and 2003","veterans released between 1954 and 2003","veterans released between 1954 and 2003","canadian comparator, 2003","canadian comparator, 2003","canadian comparator, 2003","veterans released between 1998 and 2012","veterans released between 1998 and 2012","veterans released between 1998 and 2012","canadian comparator, 2012","canadian comparator, 2012","canadian comparator, 2012"
"","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval"
"","%","from","to","%","from","to","%","from","to","%","from","to"
"activity limitation","42.3","39.0","45.7","34.1","33.4","34.7","49.5","47.2","51.8","24.6","23.9","25.3"
"low income","4.7","3.7","6.0","7.4","7.0","7.7","7.6","6.3","9.1","15.1","14.6","15.6"
"life stress","24.5","21.4","27.8","22.9","22.4","23.5","22.5","20.3","24.5","25.8","25.3","26.3"
"heavy drinking","22.0","19.3","25.0","20.2","19.6","20.7","24.7","22.7","26.8","27.0","26.5","27.5"
"self-rated mental health","78.8","75.8","81.5","72.4","71.8","73.1","61.6","59.3","63.9","72.8","72.3","73.3"
"self-rated health","56.7","53.0","60.2","55.2","54.5","55.8","52.6","50.2","54.9","61.5","60.9","62.9"
"obesity","19.7","16.8","23.1","16.6","16.1","17.0","26.1","24.1","28.2","20.2","19.7","20.7"
"needs help with activities of daily living","13.9","11.9","16.0","11.9","11.5","12.3","20.1","18.4","22.0","6.0","5.5","6.5"
"employment rate","67.6","64.8","70.2","68.9","65.2","72.3","71.8","69.7","73.8","76.4","74.4","78.4"
"postsecondary education","55.7","51.9","59.3","53.6","52.9","54.3","52.3","50.0","54.7","67.1","66.5","67.7"
"life satisfaction","90.8","88.7","92.6","91.2","90.8","91.6","85.8","84.0","87.4","92.1","91.8","92.4"
"sense of community belonging","61.2","57.6","64.7","64.4","63.8","65.1","57.5","55.2","59.8","62.1","61.5","62.7"
"daily smoking","22.2","19.5","25.1","19.4","18.9","19.9","16.5","14.7","18.4","20.4","20.0","20.8"
