"census metropolitan area, ,","homicide","homicide","sexual assault","sexual assault","robbery","robbery","breaking and entering","breaking and entering","motor vehicle theft","motor vehicle theft"
"census metropolitan area, ,","number","rate","rate","percent change in rate 2014 to 2015","rate","percent change in rate 2014 to 2015","rate","percent change in rate 2014 to 2015","rate","percent change in rate 2014 to 2015"
"st. john's","2","0.97","72","35","73","14","510","-15","106","-15"
"halifax","8","1.91","74","0","59","27","285","2","94","-4"
"moncton","2","1.28","45","-4","39","8","574","59","131","-7"
"saint john","3","2.36","77","25","31","34","253","-10","68","-26"
"saguenay","1","0.60","59","102","19","-30","338","-11","128","23"
"quebec","2","0.25","48","8","15","-28","321","-10","73","-17"
"sherbrooke","1","0.50","49","-3","26","-17","323","6","54","-41"
"trois-rivieres","2","1.29","54","31","36","30","378","-19","115","-6"
"montreal","47","1.16","43","6","82","1","405","-7","188","-16"
"gatineau","1","0.30","46","11","22","-7","305","-21","97","12"
"ottawa","7","0.70","54","0","58","13","233","9","89","-6"
"kingston","3","1.80","65","-7","22","31","332","0","79","-7"
"peterborough","1","0.82","87","39","49","22","407","18","59","-18"
"toronto","82","1.35","46","0","76","-6","225","1","113","2"
"hamilton","7","0.93","60","-1","58","4","294","-9","218","-6"
"st. catharines-niagara","7","1.56","59","87","35","-16","422","3","153","12"
"kitchener-cambridge-waterloo","6","1.11","57","-12","47","27","395","10","139","30"
"brantford","0","0.00","77","-1","60","18","528","-6","464","26"
"guelph","2","1.53","49","-11","23","10","284","-10","77","13"
"london","8","1.57","41","7","53","24","357","-21","223","16"
"windsor","6","1.81","49","-4","56","-6","411","-3","174","39"
"barrie","3","1.41","47","-30","25","19","218","7","77","-2"
"greater sudbury","2","1.22","62","-9","44","-19","381","-2","122","10"
"thunder bay","3","2.48","81","6","149","42","415","-15","157","8"
"winnipeg","22","2.72","84","-8","178","7","590","17","306","-1"
"regina","8","3.30","67","0","101","0","706","2","445","21"
"saskatoon","10","3.22","69","-10","131","-10","813","6","391","-6"
"calgary","39","2.70","51","14","82","21","634","53","532","67"
"edmonton","39","2.87","78","3","111","23","603","34","436","16"
"kelowna","3","1.53","46","56","58","-12","631","-1","347","9"
"abbotsford-mission","3","1.63","51","18","101","29","706","29","496","29"
"vancouver","47","1.88","46","3","102","4","683","-6","334","-13"
"victoria","8","2.19","61","23","44","-1","407","8","108","-2"
"canada","604","1.68","60","3","62","5","444","4","220","6"
