"club","season","league","league","league","national cup","national cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"lokomotiv-2 moscow","2009","russian second division","21","4","0","0","0","0","","","21","4"
"lokomotiv-2 moscow","2010","russian second division","23","4","1","0","0","0","","","24","4"
"lokomotiv-2 moscow","total","total","44","8","1","0","0","0","","","45","8"
"neftekhimik nizhnekamsk","2011-12","russian second division","14","4","0","0","0","0","","","14","4"
"neftekhimik nizhnekamsk","2012-13","russian football league","25","2","1","0","0","0","","","26","2"
"neftekhimik nizhnekamsk","2013-14","russian football league","34","3","1","0","0","0","","","34","3"
"neftekhimik nizhnekamsk","2014-15","russian second division","13","1","2","0","0","0","","","15","2"
"neftekhimik nizhnekamsk","total","total","86","10","4","1","0","0","","","90","11"
"istiklol","2015","tajik league","13","22","6","4","11","4","","","30","30"
"istiklol","2016","tajik league","17","22","6","9","6","0","1","0","30","31"
"istiklol","2017","tajik league","17","15","2","3","11","7","1","0","31","25"
"istiklol","total","total","47","59","14","16","28","11","2","0","91","86"
"sriwijaya","2018","liga 1","30","7","0","0","-","-","30","7","none","none"
"career total","career total","career total","207","83","19","17","28","11","2","0","255","115"
