"","random effects meta-analysis","random effects meta-analysis","random effects meta-analysis","random effects meta-analysis","random effects meta-analysis","random effects meta-analysis","random effects meta-analysis","random effects meta-analysis","random effects meta-regression","random effects meta-regression","random effects meta-regression","random effects meta-regression"
"","number of cycles","pooled estimate","95% confidence intervals","95% confidence intervals","q","p-value","i2","tau-squared","β","95% confidence intervals","95% confidence intervals","p-value"
"","number of cycles","pooled estimate","95% confidence intervals","95% confidence intervals","q","p-value","i2","tau-squared","β","95% confidence intervals","95% confidence intervals","p-value"
"","number of cycles","pooled estimate","from","to","q","p-value","i2","tau-squared","β","from","to","p-value"
"presence of a mde in the past 12 months","","","","","","","","","","","",""
"employed","9","5.40","4.70","6.00","200.50","<0.001","96.00","0.0001","-0.09","-0.21","0.04","0.15"
"unemployed","9","11.70","10.40","13.00","18.05","0.02","55.70","0.0002","0.02","-0.30","0.34","0.90"
"not participating in the labour force","9","9.80","8.50","11.20","110.30","<0.001","92.70","0.0004","0.14","-0.20","0.48","0.38"
"number of weeks feeling depressive symptoms, among participants with a mde","","","","","","","","","","","",""
"employed","6","7.61","7.24","8.00","18.00","<0.01","72.30","0.0027","0.01","-0.01","0.02","0.22"
"unemployed","6","9.58","8.33","10.38","1.00","0.96","0.00","0.0000","0.01","-0.02","0.03","0.56"
"not participating in the labour force","6","11.36","9.97","12.55","19.10","<0.01","73.90","0.0106","0.02","0.001","0.04","0.05"
"self-reported anxiety disorder","","","","","","","","","","","",""
"employed","7","4.60","3.70","5.40","190.40","<0.001","96.80","0.0001","0.26","0.08","0.45","0.01"
"unemployed","7","8.00","6.40","9.50","25.20","<0.001","76.20","0.0003","0.34","-0.10","0.78","0.10"
"not participating in the labour force","7","10.80","8.80","12.70","118.00","<0.001","94.90","0.0007","0.55","0.15","0.95","0.02"
"presence of a mde in the past 12 months and self-reported anxiety disorder","","","","","","","","","","","",""
"employed","7","1.20","1.00","1.40","41.50","<0.001","85.60","0.0000","0.05","-0.01","0.12","0.09"
"unemployed","7","3.00","2.50","3.50","7.20","0.31","16.20","0.0000","0.06","-0.12","0.24","0.40"
"not participating in the labour force","7","4.10","3.20","5.00","66.10","<0.001","90.90","0.0001","0.23","-0.05","0.50","0.09"
