"club","season","league","league","league","national cup","national cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"braga","2002-03","primeira liga","24","1","2","0","-","-","26","1","none","none","none","none"
"braga","2003-04","primeira liga","26","1","1","0","-","-","27","1","none","none","none","none"
"braga","2004-05","primeira liga","13","1","1","1","-","-","2","0","-","-","16","2"
"braga","2005-06","primeira liga","20","1","2","0","-","-","2","0","-","-","24","1"
"braga","2006-07","primeira liga","24","5","3","0","-","-","9","2","-","-","36","7"
"braga","2007-08","primeira liga","27","0","1","0","1","0","7","0","-","-","36","0"
"braga","2008-09","primeira liga","1","0","0","0","0","0","0","0","-","-","1","0"
"braga","total","total","135","9","10","1","1","0","20","2","-","-","166","12"
"apoel","2009-10","cypriot first division","13","1","0","0","-","-","6","0","1","0","20","1"
"apoel","2010-11","cypriot first division","15","2","0","0","-","-","5","1","-","-","20","3"
"apoel","2011-12","cypriot first division","18","1","1","0","-","-","14","0","-","-","33","1"
"apoel","total","total","46","4","1","0","-","-","25","1","1","0","73","5"
"anorthosis","2012-13","cypriot first division","19","0","3","0","-","-","4","0","-","-","26","0"
"anorthosis","2013-14","cypriot first division","26","2","2","0","-","-","2","0","-","-","30","2"
"anorthosis","total","total","45","2","5","0","-","-","6","0","-","-","56","2"
"doxa","2014-15","cypriot first division","14","1","0","0","-","-","14","1","none","none","none","none"
"career total","career total","career total","234","16","16","1","1","0","51","3","1","0","303","20"
