"characteristics of audiometrically measured high-frequency hearing loss","audiometrically measured high-frequency hearing loss","audiometrically measured high-frequency hearing loss","audiometrically measured high-frequency hearing loss","audiometrically measured high-frequency hearing loss","unperceived hearing loss","unperceived hearing loss","unperceived hearing loss","unperceived hearing loss"
"characteristics of audiometrically measured high-frequency hearing loss","number","percent","95% confidence interval","95% confidence interval","number","percent","95% confidence interval","95% confidence interval"
"characteristics of audiometrically measured high-frequency hearing loss","'000","percent","from","to","'000","percent","from","to"
"total","8,192","54.0","51.7","56.3","6,307","77.1","73.8","80.1"
"unilateral or bilateral","","","","","","","",""
"unilateral","2,350","15.5","13.8","17.3","2,018","85.9","79.3","90.6"
"bilateral","5,841","38.5","35.9","41.2","4,289","73.6","69.5","77.2"
"severity","","","","","","","",""
"mild","3,632","23.9","22.2","25.8","3,363","92.8","88.9","95.4"
"moderate to profound","4,560","30.1","28.1","32.1","2,944","64.6","59.0","69.8"
