"team","year","national league","national league","national league","leinster","leinster","all-ireland","all-ireland","total","total"
"team","year","division","apps","score","apps","score","apps","score","apps","score"
"galway","2008","division 1a","2","1-10","0","0-00","3","4-27","5","5-37"
"galway","2009","division 1","2","0-15","2","3-19","3","0-27","7","3-61"
"galway","2010","division 1","2","1-07","4","3-13","1","1-05","7","5-25"
"galway","2011","division 1","1","1-06","2","1-06","3","2-25","6","4-37"
"galway","2012","division 1a","2","2-19","2","1-21","3","1-29","7","4-69"
"galway","2013","division 1a","6","2-48","2","1-18","1","0-07","9","3-73"
"galway","2014","division 1a","1","0-01","3","2-06","1","0-05","5","2-12"
"galway","2015","division 1a","4","1-23","4","4-32","3","1-23","11","6-78"
"galway","2016","division 1a","6","1-52","3","0-22","2","1-13","11","2-87"
"galway","2017","division 1b","7","3-47","3","0-26","2","0-20","12","3-93"
"galway","2018","division 1b","2","0-11","5","1-48","3","1-30","10","2-89"
"galway","2019","division 1b","6","0-57","0","0-00","0","0-00","6","0-57"
"career total","career total","career total","41","12-296","30","16-211","25","11-211","96","39-718"
