"club","season","league","league","league","cup","cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"1860 munich ii","2006-07","regionalliga sud","32","12","0","0","0","0","0","0","32","12"
"1860 munich ii","2007-08","regionalliga sud","11","0","0","0","0","0","0","0","11","0"
"1860 munich ii","total","total","43","12","0","0","0","0","0","0","43","12"
"1860 munich","2007-08","2. bundesliga","19","2","0","0","0","0","0","0","19","2"
"1860 munich","2008-09","2. bundesliga","24","1","0","0","0","0","0","0","24","1"
"1860 munich","2009-10","2. bundesliga","31","4","3","0","0","0","0","0","34","4"
"1860 munich","total","total","74","7","3","0","0","0","0","0","77","7"
"olympiacos","2010-11","superleague greece","24","1","3","0","0","0","4","0","31","1"
"olympiacos","2011-12","superleague greece","23","2","3","0","0","0","9","1","35","3"
"olympiacos","2012-13","superleague greece","28","4","5","0","0","0","7","0","40","4"
"olympiacos","2013-14","superleague greece","19","2","3","0","0","0","7","0","29","2"
"olympiacos","total","total","94","9","14","0","0","0","27","1","135","10"
"roma","2014-15","serie a","24","1","1","0","0","0","9","0","34","1"
"watford","2015-16","premier league","11","0","2","0","0","0","0","0","13","0"
"watford","2016-17","premier league","33","2","0","0","0","0","0","0","33","2"
"watford","2017-18","premier league","28","0","2","0","1","0","0","0","31","0"
"watford","2018-19","premier league","25","3","3","0","0","0","-","-","28","3"
"watford","total","total","97","6","7","0","1","0","0","0","104","6"
"career total","career total","career total","332","35","25","0","1","0","36","1","394","36"
