"institution","all federal obligations","r&d","r&d plant","facilities for instruction in s&e","fellowships, traineeships, and training grants","general support for s&e","other s&e activities"
"all tribal colleges and universities","55269.5","39781.8","0","0","11282.4","0","4205.3"
"salish kootenai c","3856.2","2572.8","0","0","1102.4","0","181"
"navajo technical u","3713.2","2873.2","0","0","741","0","99"
"oglala lakota c","3250.4","2391.2","0","0","760.2","0","99"
"dine c","2738","2132.8","0","0","421.2","0","184"
"sitting bull c","2659.8","1722.2","0","0","753.6","0","184"
"turtle mountain community c","2407.7","1787.2","0","0","521.5","0","99"
"northwest indian c","2396.2","1852.9","0","0","277.3","0","266"
"c. of menominee nation","2366.3","1683.9","0","0","452.1","0","230.3"
"nueta hidatsa sahnish c","2364.6","1496.7","0","0","683.9","0","184"
"united tribes technical c","1972.9","1443.1","0","0","348.8","0","181"
"haskell indian nations u","1937.8","1492.3","0","0","346.5","0","99"
"sinte gleska u","1785.2","1411.2","0","0","275","0","99"
"cankdeska cikana community c","1751.3","1218.8","0","0","433.5","0","99"
"stone child c","1717.7","1311.2","0","0","225.5","0","181"
"fort peck community c","1659.9","1259.5","0","0","216.4","0","184"
"blackfeet community c","1649.8","1294.2","0","0","256.6","0","99"
"aaniiih nakoda c","1542.7","1164.6","0","0","194.1","0","184"
"institute of american indian arts","1515","1204.6","0","0","211.3","0","99"
"southwestern indian polytechnic institute","1395.1","1013.4","0","0","282.7","0","99"
"ilisagvik c","1298.1","944.9","0","0","169.2","0","184"
"sisseton wahpeton c","1199.4","664.2","0","0","436.2","0","99"
"fond du lac tribal and community c","1107.8","814.9","0","0","193.9","0","99"
"keweenaw bay ojibwa community c","1010.5","841.9","0","0","168.6","0","0"
"leech lake tribal c","1002.5","689.8","0","0","213.7","0","99"
"lac courte oreilles ojibwa community c","988.5","600.1","0","0","207.5","0","181"
"little big horn c","981","670.6","0","0","211.3","0","99"
"bay mills community c","932.2","627.4","0","0","205.7","0","99"
"chief dull knife c","907.9","602.2","0","0","206.7","0","99"
"nebraska indian community c","774.2","500","0","0","175.2","0","99"
"white earth tribal and community c","762","500","0","0","163","0","99"
"little priest tribal c","674.4","500","0","0","174.4","0","0"
"saginaw chippewa tribal c","669.2","500","0","0","70.2","0","99"
"tohono o'odham community c","282.1","0","0","0","183.1","0","99"
