"selected incident characteristic","women","women","women","men","men","men"
"selected incident characteristic","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval"
"selected incident characteristic","percent","from","to","percent","from","to"
"number of perpetrators","","","","","",""
"one","64.4","61.6","67.2","48.5","45.4","51.5"
"more than one","15.2","13.3","17.2","20.3","17.9","22.9"
"don't know","19.7","17.6","22.0","30.8","28.1","33.7"
"sex of perpetrator","","","","","",""
"male","50.9","47.8","53.9","27.4","24.7","30.3"
"female","12.1","10.2","14.3","15.8","13.5","18.4"
"multiple perpetrators, both male and female","2.7","2.1","3.6","2.7","1.8","4.0"
"don't know","33.0","30.4","35.8","52.6","49.5","55.7"
"relationship of perpetrator to victim","","","","","",""
"family member","11.7","10.0","13.7","6.7","5.2","8.5"
"friend, neighbour, or acquaintance","22.3","19.8","25.0","15.6","13.4","18.1"
"teacher, professor, supervisor, manager, or boss","0.2","0.1","0.3","0.8","0.4","1.5"
"co-worker or classmate","4.4","3.1","6.3","3.3","2.3","4.7"
"stranger or known by sight only","31.1","28.2","34.2","24.7","22.1","27.7"
"other","1.5","1.1","2.1","1.9","1.2","3.2"
"don't know","27.9","25.5","30.3","45.8","42.9","48.8"
"spoke to anyone about the incident","","","","","",""
"did not talk to anyone","20.9","18.9","23.0","38.7","35.7","41.9"
"the police","6.1","5.1","7.4","5.7","4.3","7.5"
"friends","56.3","53.5","59.0","36.3","33.3","39.4"
"family members","44.0","40.9","47.2","30.9","28.1","33.8"
"neighbours","3.3","2.5","4.2","2.4","1.8","3.3"
"co-workers","16.4","14.3","18.8","12.8","10.9","14.9"
"online friends","7.9","6.5","9.5","7.9","6.4","9.7"
"a lawyer","3.4","2.6","4.4","2.0","1.4","3.0"
"a counsellor, psychologist, or social worker","9.1","7.7","10.8","3.3","2.4","4.6"
"internet service provider","1.6","1.1","2.3","1.7","1.1","2.5"
"the administrators of the service or website where the incident occurred","8.3","6.2","10.9","4.3","3.2","5.7"
"other","2.8","2.1","3.7","2.9","2.1","4.1"
