"year","team","games","games","tackles","tackles","tackles","tackles","interceptions","interceptions","interceptions","interceptions","interceptions","interceptions","fumbles","fumbles","fumbles"
"year","team","g","gs","comb","total","ast","sck","int","yds","avg","lng","td","pd","ff","fr","yds"
"1990","sea","16","2","48","48","0","1.0","0","0","0.0","0","0","0","1","1","0"
"1991","sea","16","16","73","73","0","6.5","0","0","0.0","0","0","0","1","1","0"
"1992","sea","16","16","92","92","0","14.0","0","0","0.0","0","0","0","4","1","19"
"1993","sea","16","16","77","77","0","6.5","0","0","0.0","0","0","0","1","1","0"
"1994","sea","16","16","70","54","16","4.0","0","0","0.0","0","0","0","0","1","0"
"1995","sea","16","16","53","40","13","6.5","0","0","0.0","0","0","0","1","0","0"
"1996","sea","16","16","67","48","19","8.0","0","0","0.0","0","0","0","1","0","0"
"1997","sea","8","8","18","10","8","2.0","0","0","0.0","0","0","0","0","0","0"
"1998","sea","15","15","42","29","13","2.0","0","0","0.0","0","0","0","0","1","39"
"1999","sea","16","16","74","61","13","6.5","2","12","2.0","7","0","0","2","0","0"
"2000","sea","16","16","50","32","18","1.0","1","14","14.0","14","0","0","0","0","0"
"career","career","167","153","668","568","100","58.0","3","26","8.7","14","0","0","11","6","58"
