"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"nueva chicago","2013-14","primera b metropolitana","14","0","1","0","-","-","0","0","15","0"
"nueva chicago","2014","primera b nacional","17","1","0","0","-","-","2","0","19","1"
"nueva chicago","total","total","31","1","1","0","-","-","2","0","34","1"
"newell's old boys","2015","primera division","6","0","0","0","-","-","0","0","6","0"
"nueva chicago","2016","primera b nacional","20","0","0","0","-","-","0","0","20","0"
"nueva chicago","2016-17","primera b nacional","32","1","2","0","-","-","0","0","34","1"
"nueva chicago","2017-18","primera b nacional","10","2","0","0","-","-","0","0","10","2"
"nueva chicago","total","total","62","3","2","0","-","-","0","0","64","3"
"temperley","2017-18","primera division","10","0","0","0","-","-","0","0","10","0"
"career total","career total","career total","109","4","3","0","-","-","2","0","114","4"
