"selected characteristic and company size","2017","2018"
"domestic r&d performancea","400100","441036"
"type of r&db","",""
"basic research","24829","28980"
"applied research","62132","65222"
"development","313139","346834"
"paid for by the companyc","339036","377806"
"basic research","18732","22312"
"applied research","49149","53229"
"development","271155","302264"
"paid for by others","61065","63230"
"basic research","6097","6668"
"applied research","12984","11993"
"development","41984","44570"
"source of funds","",""
"federal","24277","24685"
"otherd","36788","38545"
"size of company","",""
"small companiese","",""
"10-19","3311","4390"
"20-49","9435","11252"
"medium companies","",""
"50-99","10141","12321"
"100-249","17216","18547"
"large companies","",""
"250-499","14103","19645"
"500-999","17871","17657"
"1,000-4,999","65112","68578"
"5,000-9,999","40198","45337"
"10,000-24,999","73485","84420"
"25,000 or more","149227","158889"
