"organization or association type","total - 65 years and over","total - 65 years and over","65 to 74 years","65 to 74 years","75 years and over","75 years and over"
"organization or association type","women","men","women","men","women","men"
"organization or association type","percentage","percentage","percentage","percentage","percentage","percentage"
"union or professional organization","9","17","11","21","6","12"
"political party or group","6","8","6","8","5","8"
"sports or recreational organization","19","23","23","25","14","19"
"cultural, educational, or hobby organization","25","19","28","20","22","17"
"religious group","23","16","22","17","26","16"
"school or community group","13","12","15","13","10","11"
"service club","9","15","9","14","8","16"
"seniors' group","28","18","23","14","33","24"
"immigrant or ethnic association or club","3","3","3","3","2","3"
