"affiliation","regular season","regular season","postseason","postseason","postseason"
"affiliation","record","win %","appearances","record","win %"
"cincinnati reds","147-138",".516","1","5-2",".714"
"new york yankees","417-306",".577","5","14-14",".500"
"detroit tigers","139-144",".491","0","-","-"
"cincinnati reds","429-433",".498","1","2-3",".400"
"chicago white sox","383-335",".533","2","7-7",".500"
"pittsburgh pirates","490-504",".493","1","3-4",".429"
"milwaukee brewers","723-713",".503","3","9-8",".529"
"oakland athletics","289-276",".581","1","2-3",".400"
"all-time","3,017-2,849",".514","14","42-41",".506"
