"province/territory","2012/2013","2012/2013","2013/2014","2013/2014","percent change in number of cases 2012/2013 to 2013/2014","difference in median length of cases 2012/2013 to 2013/2014"
"province/territory","number","median length of case","number","median length of case","percent","days"
"canada","45,441","114","39,901","120","-12","6"
"newfoundland and labrador","507","104","502","120","-1","16"
"prince edward island","212","22","158","50","-25","28"
"nova scotia","1,328","127","1,010","113","-24","-14"
"new brunswick","880","85","755","89","-14","4"
"quebec","8,206","136","7,646","141","-7","5"
"ontario","17,338","112","14,617","119","-16","7"
"manitoba","3,311","134","3,067","146","-7","12"
"saskatchewan","4,197","78","3,755","79","-11","1"
"alberta","6,390","127","5,701","127","-11","0"
"british columbia","2,682","120","2,304","117","-14","-3"
"yukon","64","105","75","155","17","50"
"northwest territories","129","78","132","81","2","3"
"nunavut","197","64","179","71","-9","7"
