"cause of death","deaths","deaths"
"cause of death","number","percent"
"infectious and parasitic diseases","5,990","1.8"
"neoplasms","115,105","34.4"
"lip, oral cavity, pharynx","1,635","0.5"
"esophagus","2,710","0.8"
"stomach","3,165","0.9"
"colon","9,265","2.8"
"rectum and anus","3,065","0.9"
"liver and bile duct","2,890","0.9"
"pancreas","6,000","1.8"
"lung, trachea, bronchus, larynx","30,655","9.1"
"skin","1,380","0.4"
"breast","7,870","2.3"
"cervix uteri","585","0.2"
"uterus","1,195","0.4"
"ovary","2,665","0.8"
"prostate","6,295","1.9"
"kidney","2,475","0.7"
"bladder","2,855","0.9"
"lymph or haematopoietic tissue","10,620","3.2"
"diseases of the blood or blood-forming organs, immunological disorders","1,340","0.4"
"endocrine, nutritional and metabolic disorders","13,890","4.1"
"diabetes mellitus","10,590","3.2"
"mental and behavioural disorders","10,905","3.3"
"diseases of the nervous system","13,005","3.9"
"diseases of the circulatory system","101,880","30.4"
"ischaemic heart disease","13,220","3.9"
"cerebrovascular disease","19,255","5.7"
"diseases of the respiratory system","28,015","8.4"
"chronic lower respiratory diseases","14,975","4.5"
"diseases of the digestive system","13,105","3.9"
"diseases of the genitourinary system","7,230","2.2"
"external causes of injury and poisoning","18,415","5.5"
"accidental injury","8,930","2.7"
"suicide","4,575","1.4"
