"club","season","league","league","cup","cup","continental","continental","total","total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals"
"proleter zrenjanin","1994-95","5","1","none","none","-","-","5","1"
"proleter zrenjanin","1995-96","16","1","none","none","-","-","16","1"
"proleter zrenjanin","1996-97","20","1","none","none","-","-","20","1"
"proleter zrenjanin","1997-98","26","4","none","none","4","0","30","4"
"proleter zrenjanin","total","67","7","none","none","4","0","71","7"
"partizan","1998-99","20","11","none","none","6","0","26","11"
"partizan","1999-2000","30","18","1","0","8","3","39","21"
"partizan","2000-01","30","20","4","2","4","0","38","22"
"partizan","2001-02","23","8","1","0","1","2","25","10"
"partizan","2002-03","13","3","1","0","6","2","20","5"
"partizan","2003-04","17","4","3","2","2","0","22","6"
"partizan","total","133","64","10","4","27","7","170","75"
"borussia monchengladbach","2004-05","4","1","0","0","-","-","4","1"
"aek athens","2004-05","17","4","6","1","0","0","23","5"
"aek athens","2005-06","27","3","5","0","2","0","34","3"
"aek athens","2006-07","12","2","0","0","5","1","17","3"
"aek athens","total","56","9","11","1","7","1","74","11"
"aris thessaloniki","2007-08","29","5","6","3","5","0","40","8"
"paok","2008-09","28","7","4","0","-","-","32","7"
"paok","2009-10","30","9","0","0","4","1","34","10"
"paok","2010-11","23","2","5","0","10","3","38","5"
"paok","2011-12","22","2","2","0","5","0","29","2"
"paok","total","103","20","11","0","19","4","133","24"
"career total","career total","392","106","38","8","62","12","492","126"
