"","sample size","roe-based definition","ei-based definition","difference between ei- and roe-based definitions","difference between ei- and roe-based definitions"
"","number","percent","percent","ratio","percentage points"
"marital status","","","","",""
"married","2,179,467","54.1","72.3","1.3","18.2"
"common law","916,691","48.9","77.6","1.6","28.7"
"lone parent","508,553","28.6","44.5","1.6","15.9"
"parents' sex","","","","",""
"opposite-sex parents","3,089,827","52.5","73.8","1.4","21.3"
"same-sex parents","1,852","52.6","73.7","1.4","21.1"
"same-sex parents","4,479","62.8","83.2","1.3","20.4"
"male lone parent","9,977","8.1","25.1","3.1","17.0"
"female lone parent","498,576","29.0","44.9","1.5","15.9"
"family income in pre-birth year","","","","",""
"less than $30,000","925,199","21.9","38.4","1.8","16.5"
"$30,000 to $59,999","868,464","43.8","72.5","1.7","28.7"
"$60,000 to $89,999","784,526","59.2","82.3","1.4","23.0"
"$90,000 to $119,999","525,228","69.6","87.3","1.3","17.7"
"$120,000 to $149,999","259,397","73.9","88.7","1.2","14.8"
"$150,000 or more","241,899","69.4","82.7","1.2","13.3"
"number of children","","","","",""
"0","3,452,200","48.4","68.8","1.4","20.4"
"1","115,774","68.0","91.1","1.3","23.1"
"2","30,387","62.0","86.6","1.4","24.6"
"3","5,179","55.8","81.4","1.5","25.6"
"4 or more","1,173","48.3","72.6","1.5","24.3"
"province or territory","","","","",""
"newfoundland and labrador","63,480","31.6","62.3","2.0","30.7"
"prince edward island","14,821","49.5","84.3","1.7","34.8"
"nova scotia","92,757","47.7","73.5","1.5","25.8"
"new brunswick","77,176","46.5","77.1","1.7","30.5"
"quebec","828,392","49.7","78.5","1.6","28.8"
"ontario","1,354,528","52.8","68.6","1.3","15.8"
"manitoba","144,359","45.7","61.6","1.3","15.9"
"saskatchewan","126,468","44.5","60.5","1.4","16.0"
"alberta","424,162","46.7","65.0","1.4","18.4"
"british columbia","431,247","47.5","68.0","1.4","20.6"
"territories","19,236","34.4","50.9","1.5","16.5"
