"club","season","league","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"oxford united","1986-87","first division","0","0","0","0","0","0","0","0"
"oxford united","1987-88","first division","3","0","0","0","1","1","4","1"
"oxford united","1988-89","second division","3","0","0","0","0","0","3","0"
"oxford united","1989-90","second division","4","0","1","0","0","0","5","0"
"oxford united","1990-91","second division","32","5","2","1","6","1","40","7"
"oxford united","1991-92","second division","22","5","0","0","3","0","25","0"
"oxford united","total","total","64","10","3","1","10","1","77","12"
"brentford","1986-87","third division","11","2","0","0","0","0","11","2"
"southend united","1987-88","third division","6","1","0","0","3","1","9","2"
"watford","1991-92","second division","23","5","0","0","0","0","23","5"
"watford","1992-93","first division","42","11","1","1","6","0","49","12"
"watford","1993-94","first division","26","3","1","0","3","1","30","4"
"watford","1994-95","first division","14","7","0","0","1","2","15","9"
"watford","total","total","105","26","2","1","10","7","117","34"
"southend united","1993-94","first division","5","0","0","0","0","0","5","0"
"reading","1994-95","first division","20","10","0","0","3","2","23","12"
"reading","1995-96","first division","39","10","2","0","4","1","45","11"
"reading","1996-97","first division","23","6","0","0","2","0","25","6"
"reading","total","total","91","26","2","0","9","3","102","29"
"notts county","1996-97","second division","6","0","0","0","0","0","6","0"
"grimsby town","1997-98","second division","36","8","4","2","14","3","54","13"
"grimsby town","1998-99","first division","38","2","0","0","4","1","42","3"
"grimsby town","total","total","74","10","4","2","18","4","96","16"
"darlington","1999-2000","third division","31","2","3","0","5","3","39","5"
"darlington","2000-01","third division","18","4","0","0","1","0","19","4"
"darlington","total","total","49","6","3","0","6","3","58","9"
"luton town","2000-01","second division","7","1","3","1","1","0","11","2"
"york city","2000-01","third division","16","6","0","0","0","0","16","6"
"york city","2001-02","third division","42","13","5","0","2","0","49","13"
"york city","2002-03","third division","46","5","2","0","2","1","50","6"
"york city","2003-04","third division","39","8","1","1","2","0","42","9"
"york city","2004-05","conference national","22","3","1","0","1","0","24","3"
"york city","total","total","165","35","9","1","7","1","181","37"
"fc halifax town","2014-15","conference premier","0","0","0","0","1","0","1","0"
"career total","career total","career total","583","117","26","6","65","16","674","139"
