"","share of gross job creation","share of gross job destruction","share of net job growth"
"","percent","percent","percent"
"canadian-born-owned, firm age","","",""
"0","14.6","..","90.5"
"1 to 4","22.5","15.3","59.9"
"5 to 9","14.9","17.7","0.2"
"10 to 14","11.3","14.5","-5.5"
"15 to 19","8.4","11.2","-6.1"
"20 or older","28.3","41.3","-39.0"
"all ages","100.0","100.0","100.0"
"immigrant-owned, firm age","","",""
"0","25.8","..","70.8"
"1 to 4","36.8","32.9","43.6"
"5 to 9","16.5","27.3","-2.3"
"10 to 14","8.7","15.4","-3.0"
"15 to 19","4.4","8.5","-2.8"
"20 or older","7.7","15.8","-6.4"
"all ages","100.0","100.0","100.0"
"all firms, firm age","","",""
"0","16.1","..","85.5"
"1 to 4","24.4","17.2","55.7"
"5 to 9","15.1","18.7","-0.4"
"10 to 14","10.9","14.6","-4.9"
"15 to 19","7.9","11.0","-5.2"
"20 or older","25.6","38.6","-30.6"
"all ages","100.0","100.0","100.0"
