"municipality","total population","type of population","type of population","type of population"
"municipality","total population","immigrant","second generation","population with an immigrant background"
"municipality","thousands","percentage","percentage","percentage"
"census metropolitan area of vancouver","2,272.7","40.1","15.7","55.8"
"langley, dm","103.1","18.0","10.7","28.7"
"surrey","463.3","40.5","18.9","59.5"
"delta","98.7","28.9","14.9","43.8"
"richmond","189.3","59.6","15.4","75.0"
"vancouver","590.2","43.8","17.0","60.8"
"burnaby","220.3","50.5","17.8","68.2"
"new westminster","65.1","33.4","14.6","48.0"
"coquitlam","125.0","41.7","13.7","55.3"
"port coquitlam","55.8","29.4","12.9","42.3"
"north vancouver, dm","83.6","29.9","11.9","41.7"
"north vancouver, cy","47.7","37.2","12.0","49.2"
"west vancouver","42.0","40.7","11.4","52.2"
"maple ridge","75.1","17.2","9.9","27.1"
