"2011 identity group","2016 identity group","2016 identity group","2016 identity group","2016 identity group","2016 identity group"
"2011 identity group","first nationsstatus indians","first nationsnon-status indians","metis","inuit","other"
"2011 identity group","percent","percent","percent","percent","percent"
"first nations status indians","87.1","5.1","1.8","0.8","12.0"
"first nations non-status indians","4.5","32.0","4.6","0.6","10.8"
"metis","2.5","9.1","53.3","0.5","18.7"
"inuit","0.1","0.1","0.1","91.0","0.7"
"other","1.2","1.3","1.1","0.5","9.2"
"non-aboriginal","4.6","52.4","39.1","6.6","48.6"
"total","100.0","100.0","100.0","100.0","100.0"
