"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"manchester city","1980-81","first division","2","0","0","0","0","0","2","0"
"manchester city","1981-82","first division","3","0","0","0","0","0","3","0"
"manchester city","1982-83","first division","17","0","0","0","1","0","18","0"
"manchester city","1983-84","second division","42","0","1","0","3","0","46","0"
"manchester city","1984-85","second division","42","0","1","0","5","0","48","0"
"manchester city","1985-86","first division","8","0","0","0","0","0","8","0"
"manchester city","total","total","114","0","2","0","9","0","125","0"
"port vale","1986-87","third division","31","0","2","0","4","0","37","0"
"port vale","1988-89","third division","4","0","0","0","2","0","6","0"
"port vale","total","total","35","0","2","0","6","0","43","0"
"career total","career total","career total","149","0","4","0","15","0","168","0"
