"club","season","league","league","league","fa cup","fa cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals"
"croydon common","1913-14","southern league second division","30","0","1","0","31","0"
"croydon common","1914-15","southern league first division","35","0","2","0","37","0"
"croydon common","total","total","65","0","3","0","68","0"
"arsenal","1919-20","first division","26","0","1","0","27","0"
"arsenal","1920-21","first division","33","0","1","0","34","0"
"arsenal","1921-22","first division","41","0","6","0","47","0"
"arsenal","1922-23","first division","5","0","0","0","5","0"
"arsenal","total","total","105","0","8","0","113","0"
"career total","career total","career total","170","0","11","0","181","0"
