"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"port vale","1963-64","third division","2","0","0","0","0","0","2","0"
"port vale","1964-65","third division","28","0","2","0","1","0","31","0"
"port vale","1965-66","fourth division","41","0","4","0","1","0","46","0"
"port vale","1966-67","fourth division","41","0","3","0","1","0","45","0"
"port vale","total","total","112","0","9","0","3","0","124","0"
"bury","1971-72","fourth division","6","1","0","0","0","0","6","1"
"blackburn rovers","1976-77","second division","3","1","2","0","0","0","5","1"
"blackpool","1967-68","second division","6","0","0","0","0","0","6","0"
"blackpool","1968-69","second division","15","1","0","0","1","0","16","1"
"blackpool","1969-70","second division","9","0","0","0","1","0","10","0"
"blackpool","1970-71","first division","21","0","0","0","6","1","27","1"
"blackpool","1971-71","second division","24","0","0","0","6","1","30","1"
"blackpool","1972-73","second division","30","3","1","0","10","0","41","3"
"blackpool","1973-74","second division","41","12","1","0","2","0","44","12"
"blackpool","1974-75","second division","23","4","1","0","2","0","26","4"
"blackpool","1975-76","second division","24","1","2","1","3","0","29","2"
"blackpool","total","total","193","21","5","1","31","2","129","24"
"portland timbers","1977","nasl","7","2","-","-","-","-","7","2"
"port vale","1976-77","third division","1","0","0","0","0","0","1","0"
"port vale","1977-78","third division","3","0","0","0","3","2","6","2"
"port vale","total","total","4","0","0","0","3","2","7","2"
"halifax town","1977-78","fourth division","14","2","0","0","0","0","14","2"
"career total","career total","career total","339","27","16","1","37","4","392","32"
