"","once","once","once","less than once a month","less than once a month","less than once a month","one to three times a month","one to three times a month","one to three times a month","at least once a week","at least once a week","at least once a week","daily","daily","daily"
"","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval"
"","%","from","to","%","from","to","%","from","to","%","from","to","%","from","to"
"total","0.7","0.5","0.9","4.4","4.0","4.8","2.1","1.9","2.4","3.2","2.8","3.5","1.8","1.5","2.0"
"sex","","","","","","","","","","","","","","",""
"male","0.8","0.6","1.1","5.2","4.6","5.9","3.0","2.6","3.5","4.6","4.0","5.3","2.4","2.0","2.8"
"female","0.6","0.4","0.8","3.6","3.2","4.0","1.3","1.0","1.6","1.7","1.4","2.1","1.2","0.9","1.5"
"age group","","","","","","","","","","","","","","",""
"15 to 17","2.9","1.9","4.6","6.2","4.3","8.9","4.4","3.2","6.1","4.3","3.0","6.1","2.0","1.0","3.9"
"18 to 24","2.5","1.6","4.0","11.0","9.4","12.8","6.6","5.3","8.2","8.1","6.7","9.8","4.9","4.0","6.0"
"25 to 44","0.5","0.3","0.8","5.9","5.1","6.7","2.7","2.2","3.3","4.4","3.6","5.3","2.2","1.7","2.7"
"45 to 64","0.2","0.1","0.4","2.6","2.1","3.3","0.9","0.7","1.2","1.7","1.4","2.1","1.2","1.0","1.5"
"65+ or older","f","..","..","0.4","0.3","0.7","f","..","..","0.2","0.1","0.3","f","..",".."
