"","1990","2016"
"","percent","percent"
"men","",""
"construction trade helpers and labourers","5.3","5.4"
"transport truck drivers","6.6","4.7"
"material handlers","2.9","4.5"
"janitors, caretakers and building superintendents","2.4","2.8"
"cooks","..","2.8"
"carpenters","2.6","2.7"
"automotive service technicians, truck and bus mechanics and mechanical repairers","2.2","2.3"
"general farm workers","..","2.2"
"landscaping and grounds maintenance labourers","..","2.2"
"heavy equipment operators","2.4","2.1"
"managers in agriculture","2.7",".."
"delivery and courier service drivers","2.3",".."
"other labourers in processing, manufacturing and utilities","2.1",".."
"women","",""
"light duty cleaners","4.4","9.2"
"cashiers","4.4","8.4"
"food and beverage servers","4.6","4.8"
"food counter attendants, kitchen helpers and related support occupations","4.3","4.7"
"retail salespersons","5.7","4.1"
"retail sales supervisors","..","3.7"
"early childhood educators and assistants","2.8","3.1"
"nurse aides, orderlies and patient service associates","..","2.9"
"cooks","3.0","2.4"
"estheticians, electrologists and related occupations","..","2.2"
"industrial sewing machine operators","3.0",".."
"other labourers in processing, manufacturing and utilities","3.0",".."
"general office support workers","2.8",".."
